# File: A44.india_state_in_EJ_comm_F_Uoth_Y.csv
# Title: State-wise apploth energy demand in India
# Units: EJ/yr
# Comments: commential apploth energy demand
# Source: Refer to India_bld disaggg
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
state,sector,fuel,service,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
TR,comm,electricity,comm lighting,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,9.95E-05
TS,comm,electricity,comm lighting,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,0.00110216
UK,comm,electricity,comm lighting,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.001078629
UP,comm,electricity,comm lighting,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.00575685,0.005707882
WB,comm,electricity,comm lighting,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.00429147,0.004332855
AN,comm,electricity,comm ref,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000139504,0.000148998
AP,comm,electricity,comm ref,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002371571,0.002378435
AR,comm,electricity,comm ref,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.49E-05,3.59008E-05
AS,comm,electricity,comm ref,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.000279008,0.00027541
BR,comm,electricity,comm ref,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.00034876,0.000365577
