# File: A54.india_state_StubTranTechCost.csv
# Title: Non-energy sub technology transport cost at state level
# Units: 1990$/pkm or 1990$/tkm
# Column types: ccccnnnnnnnnnnnnnnnnnnn
# ----------
region,supplysector,tranSubsector,stub.technology,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
LD,trn_pass_road_LDV_2W,LDV_2W,Electric,0.017913533,0.016674182,0.015520576,0.014446782,0.013372988,0.012836091,0.012299194,0.011762297,0.0112254,0.010975579,0.010760408,0.010577327,0.010424188,0.010299212,0.010200956,0.01012828,0.010080331,0.010056521,0.010056521
MH,trn_pass_road_LDV_2W,LDV_2W,Electric,0.018350787,0.017087319,0.015910842,0.014815367,0.013719891,0.013172154,0.012624416,0.012076678,0.011528941,0.0112697,0.011046415,0.01085643,0.010697516,0.010567829,0.010465867,0.010390451,0.010340693,0.010315986,0.010315986
ML,trn_pass_road_LDV_2W,LDV_2W,Electric,0.0180107,0.01676599,0.015607302,0.01452869,0.013450078,0.012910771,0.012371465,0.011832159,0.011292853,0.011040939,0.010823965,0.01063935,0.010484928,0.010358905,0.010259825,0.01018654,0.010138189,0.01011418,0.01011418
MN,trn_pass_road_LDV_2W,LDV_2W,Electric,0.018059283,0.016811894,0.015650665,0.014569643,0.013488622,0.012948112,0.012407601,0.011867091,0.01132658,0.011073619,0.010855743,0.010670361,0.010515297,0.010388751,0.01028926,0.01021567,0.010167118,0.01014301,0.01014301
MP,trn_pass_road_LDV_2W,LDV_2W,Electric,0.017913533,0.016674182,0.015520576,0.014446782,0.013372988,0.012836091,0.012299194,0.011762297,0.0112254,0.010975579,0.010760408,0.010577327,0.010424188,0.010299212,0.010200956,0.01012828,0.010080331,0.010056521,0.010056521
MZ,trn_pass_road_LDV_2W,LDV_2W,Electric,0.0178941,0.016655821,0.015503231,0.0144304,0.01335757,0.012821155,0.01228474,0.011748324,0.011211909,0.010962507,0.010747696,0.010564922,0.01041204,0.010287274,0.010189182,0.010116628,0.010068759,0.01004499,0.01004499
NL,trn_pass_road_LDV_2W,LDV_2W,Electric,0.018107867,0.016857798,0.015694028,0.014610597,0.013527167,0.012985452,0.012443737,0.011902022,0.011360307,0.011106299,0.010887522,0.010701372,0.010545667,0.010418597,0.010318694,0.0102448,0.010196047,0.010171839,0.010171839
OD,trn_pass_road_LDV_2W,LDV_2W,Electric,0.01815645,0.016903702,0.015737391,0.014651551,0.013565712,0.013022792,0.012479873,0.011936953,0.011394034,0.011138979,0.0109193,0.010732384,0.010576037,0.010448444,0.010348129,0.01027393,0.010224977,0.010200668,0.010200668
PB,trn_pass_road_LDV_2W,LDV_2W,Electric,0.017962116,0.016720086,0.015563939,0.014487736,0.013411533,0.012873431,0.01233533,0.011797228,0.011259127,0.011008259,0.010792186,0.010608338,0.010454558,0.010329059,0.010230391,0.01015741,0.01010926,0.010085351,0.010085351
PC,trn_pass_road_LDV_2W,LDV_2W,Electric,0.017913533,0.016674182,0.015520576,0.014446782,0.013372988,0.012836091,0.012299194,0.011762297,0.0112254,0.010975579,0.010760408,0.010577327,0.010424188,0.010299212,0.010200956,0.01012828,0.010080331,0.010056521,0.010056521
RJ,trn_pass_road_LDV_2W,LDV_2W,Electric,0.018059283,0.016811894,0.015650665,0.014569643,0.013488622,0.012948112,0.012407601,0.011867091,0.01132658,0.011073619,0.010855743,0.010670361,0.010515297,0.010388751,0.01028926,0.01021567,0.010167118,0.01014301,0.01014301
SK,trn_pass_road_LDV_2W,LDV_2W,Electric,0.018107867,0.016857798,0.015694028,0.014610597,0.013527167,0.012985452,0.012443737,0.011902022,0.011360307,0.011106299,0.010887522,0.010701372,0.010545667,0.010418597,0.010318694,0.0102448,0.010196047,0.010171839,0.010171839
TN,trn_pass_road_LDV_2W,LDV_2W,Electric,0.018107867,0.016857798,0.015694028,0.014610597,0.013527167,0.012985452,0.012443737,0.011902022,0.011360307,0.011106299,0.010887522,0.010701372,0.010545667,0.010418597,0.010318694,0.0102448,0.010196047,0.010171839,0.010171839
TR,trn_pass_road_LDV_2W,LDV_2W,Electric,0.018020416,0.016775171,0.015615974,0.01453688,0.013457786,0.01291824,0.012378693,0.011839146,0.011299599,0.011047475,0.010830321,0.010645552,0.010491001,0.010364874,0.010265712,0.010192366,0.010143975,0.010119946,0.010119946
TS,trn_pass_road_LDV_2W,LDV_2W,Electric,0.018545126,0.017270937,0.016084294,0.014979183,0.013874071,0.013321515,0.012768959,0.012216403,0.011663848,0.01140042,0.011173529,0.010980476,0.010818996,0.010687213,0.010583605,0.010506971,0.01045641,0.010431304,0.010431304
UK,trn_pass_road_LDV_2W,LDV_2W,Electric,0.018447956,0.017179128,0.015997568,0.014897275,0.013796981,0.013246834,0.012696688,0.012146541,0.011596394,0.01133506,0.011109972,0.010918453,0.010758256,0.010627521,0.010524736,0.010448711,0.010398552,0.010373645,0.010373645
UP,trn_pass_road_LDV_2W,LDV_2W,Electric,0.018253618,0.016995511,0.015824116,0.014733459,0.013642802,0.013097473,0.012552144,0.012006816,0.011461487,0.011204339,0.010982857,0.010794407,0.010636777,0.010508136,0.010406998,0.010332191,0.010282835,0.010258327,0.010258327
WB,trn_pass_road_LDV_2W,LDV_2W,Electric,0.0181273,0.01687616,0.015711373,0.014626979,0.013542585,0.013000388,0.012458191,0.011915994,0.011373798,0.011119371,0.010900233,0.010713777,0.010557815,0.010430536,0.010330468,0.010256452,0.010207619,0.010183371,0.010183371
AN,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.02835954,0.029195586,0.030056279,0.030942346,0.031828412,0.032725154,0.033760678,0.034796201,0.035831724,0.035831724,0.035831724,0.035831724,0.035831724,0.035831724,0.035831724,0.035831724,0.035831724,0.035831724,0.035831724
AP,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.030439847,0.031341562,0.032269988,0.033225917,0.034181846,0.035149292,0.036266461,0.037383631,0.038500801,0.038500801,0.038500801,0.038500801,0.038500801,0.038500801,0.038500801,0.038500801,0.038500801,0.038500801,0.038500801
AR,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.028403336,0.029240765,0.030102884,0.030990421,0.031877958,0.032776189,0.033813431,0.034850673,0.035887915,0.035887915,0.035887915,0.035887915,0.035887915,0.035887915,0.035887915,0.035887915,0.035887915,0.035887915,0.035887915
AS,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.029125969,0.029986209,0.030871856,0.031783661,0.032695467,0.033618257,0.034683861,0.035749465,0.036815068,0.036815068,0.036815068,0.036815068,0.036815068,0.036815068,0.036815068,0.036815068,0.036815068,0.036815068,0.036815068
BR,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.029782908,0.030663885,0.031570922,0.032504789,0.033438656,0.034383774,0.035475161,0.036566548,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934
CG,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.029563928,0.030437993,0.0313379,0.032264413,0.033190926,0.034128602,0.035211394,0.036294187,0.037376979,0.037376979,0.037376979,0.037376979,0.037376979,0.037376979,0.037376979,0.037376979,0.037376979,0.037376979,0.037376979
CH,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.029125969,0.029986209,0.030871856,0.031783661,0.032695467,0.033618257,0.034683861,0.035749465,0.036815068,0.036815068,0.036815068,0.036815068,0.036815068,0.036815068,0.036815068,0.036815068,0.036815068,0.036815068,0.036815068
DD,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.02835954,0.029195586,0.030056279,0.030942346,0.031828412,0.032725154,0.033760678,0.034796201,0.035831724,0.035831724,0.035831724,0.035831724,0.035831724,0.035831724,0.035831724,0.035831724,0.035831724,0.035831724,0.035831724
DL,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.028906989,0.029760317,0.030638834,0.031543286,0.032447737,0.033363085,0.034420094,0.035477104,0.036534113,0.036534113,0.036534113,0.036534113,0.036534113,0.036534113,0.036534113,0.036534113,0.036534113,0.036534113,0.036534113
DN,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.02835954,0.029195586,0.030056279,0.030942346,0.031828412,0.032725154,0.033760678,0.034796201,0.035831724,0.035831724,0.035831724,0.035831724,0.035831724,0.035831724,0.035831724,0.035831724,0.035831724,0.035831724,0.035831724
GA,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.029782908,0.030663885,0.031570922,0.032504789,0.033438656,0.034383774,0.035475161,0.036566548,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934
GJ,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.029125969,0.029986209,0.030871856,0.031783661,0.032695467,0.033618257,0.034683861,0.035749465,0.036815068,0.036815068,0.036815068,0.036815068,0.036815068,0.036815068,0.036815068,0.036815068,0.036815068,0.036815068,0.036815068
HP,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.02846903,0.029308532,0.03017279,0.031062534,0.031952277,0.03285274,0.033892561,0.034932382,0.035972202,0.035972202,0.035972202,0.035972202,0.035972202,0.035972202,0.035972202,0.035972202,0.035972202,0.035972202,0.035972202
HR,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.028906989,0.029760317,0.030638834,0.031543286,0.032447737,0.033363085,0.034420094,0.035477104,0.036534113,0.036534113,0.036534113,0.036534113,0.036534113,0.036534113,0.036534113,0.036534113,0.036534113,0.036534113,0.036534113
JH,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.029125969,0.029986209,0.030871856,0.031783661,0.032695467,0.033618257,0.034683861,0.035749465,0.036815068,0.036815068,0.036815068,0.036815068,0.036815068,0.036815068,0.036815068,0.036815068,0.036815068,0.036815068,0.036815068
JK,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.029782908,0.030663885,0.031570922,0.032504789,0.033438656,0.034383774,0.035475161,0.036566548,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934
KA,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.030658827,0.031567454,0.03250301,0.033466293,0.034429575,0.035404464,0.036530228,0.037655992,0.038781756,0.038781756,0.038781756,0.038781756,0.038781756,0.038781756,0.038781756,0.038781756,0.038781756,0.038781756,0.038781756
KL,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.029782908,0.030663885,0.031570922,0.032504789,0.033438656,0.034383774,0.035475161,0.036566548,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934
LA,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.029782908,0.030663885,0.031570922,0.032504789,0.033438656,0.034383774,0.035475161,0.036566548,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934,0.037657934
