# File: A44.india_state_in_EJ_res_F_apploth_Y.csv
# Title: State-wise apploth energy demand in India
# Units: EJ/yr
# Comments: Residential apploth energy demand
# Source: Refer to India_bld disaggg
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
state,sector,fuel,service,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
MH,resid rural,electricity,resid rural apploth,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.009521648,0.020304222
ML,resid rural,electricity,resid rural apploth,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,7.65E-05,1.42E-04
MN,resid rural,electricity,resid rural apploth,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05,3.01E-04
MP,resid rural,electricity,resid rural apploth,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.001261286,0.003038531
MZ,resid rural,electricity,resid rural apploth,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,4.65E-05,9.29E-05
NL,resid rural,electricity,resid rural apploth,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,4.92E-04
OD,resid rural,electricity,resid rural apploth,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.001259834,0.002540059
PB,resid rural,electricity,resid rural apploth,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.003714722,0.007499394
PC,resid rural,electricity,resid rural apploth,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,7.47E-05,1.98E-04
RJ,resid rural,electricity,resid rural apploth,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.001648884,0.003780016
SK,resid rural,electricity,resid rural apploth,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,1.07E-05,2.71E-04
TN,resid rural,electricity,resid rural apploth,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.007805123,0.015378464
TR,resid rural,electricity,resid rural apploth,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,9.35E-05,2.00E-04
TS,resid rural,electricity,resid rural apploth,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.001835831,0.004803889
UK,resid rural,electricity,resid rural apploth,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.000552603,0.001097371
UP,resid rural,electricity,resid rural apploth,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.00857662,0.017651856
WB,resid rural,electricity,resid rural apploth,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.003840697,0.007398622
AN,resid urban,electricity,resid urban apploth,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.001481154,0.00107601
AP,resid urban,electricity,resid urban apploth,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.035322235,0.014111853
AR,resid urban,electricity,resid urban apploth,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000226925,0.000180681
AS,resid urban,electricity,resid urban apploth,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.00045773,0.000330021
BR,resid urban,electricity,resid urban apploth,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.40E-04,5.95E-04
CG,resid urban,electricity,resid urban apploth,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.003128963,0.002641267
CH,resid urban,electricity,resid urban apploth,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,2.60E-04,9.42E-05
DD,resid urban,electricity,resid urban apploth,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001397087,0.001019982
DL,resid urban,electricity,resid urban apploth,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.024124217,0.018087981
DN,resid urban,electricity,resid urban apploth,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000366832,0.000166561
GA,resid urban,electricity,resid urban apploth,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001646244,0.001237015
